source_train_dataset,target_train_dataset,training_method,test_dataset,adaptation_state,test_region_type,test_abs_rel,test_sq_rel,test_log10,test_rmse,test_rmse_log,test_a1,test_a2,test_a3
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,full,0.321,3.100,0.124,7.479,0.357,0.484,0.798,0.932
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,dynamic,0.396,5.569,0.143,9.836,0.396,0.438,0.727,0.881
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,static,0.306,2.874,0.119,7.266,0.341,0.496,0.811,0.942
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,full,0.215,5.412,0.113,22.755,0.381,0.615,0.827,0.906
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,dynamic,0.272,7.901,0.137,22.914,0.403,0.519,0.748,0.863
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,static,0.213,5.535,0.114,23.021,0.380,0.613,0.826,0.905
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,full,0.115,0.750,0.050,4.569,0.184,0.870,0.963,0.985
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,dynamic,0.210,2.635,0.089,7.546,0.292,0.706,0.878,0.939
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,static,0.105,0.622,0.046,4.243,0.158,0.887,0.974,0.992
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,full,0.217,4.933,0.108,21.423,0.367,0.638,0.841,0.914
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,dynamic,0.236,6.193,0.116,20.536,0.356,0.599,0.819,0.900
DDAD,KITTI,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,static,0.220,5.130,0.110,21.758,0.371,0.630,0.834,0.910
